source_file,record_path,quantity,method,point_estimate,ci_low,ci_high,n_sites,nominal_draws,retained_draws,shortfall,endpoint_touches_0_or_1
robustness/results/robustness_statistics.json,/sift_sequence_constraint_diagnostic/cohorts/legacy_158/sift_auc,sift_auc,bootstrap_auc (protein cluster),0.6061554512258738,0.5208031426242774,0.6902992040452336,,20000,20000,0,
robustness/results/robustness_statistics.json,/sift_sequence_constraint_diagnostic/cohorts/legacy_158/distance_auc,distance_auc,bootstrap_auc (protein cluster),0.5317336115458181,0.41930363254951336,0.6465740983893558,,20000,20000,0,
robustness/results/robustness_statistics.json,/sift_sequence_constraint_diagnostic/cohorts/legacy_158/sift_minus_distance_auc,sift_minus_distance_auc,paired_auc_difference (protein cluster),0.07442183968005567,-0.03564264308815654,0.1917312879039604,,20000,20000,0,
robustness/results/robustness_statistics.json,/sift_sequence_constraint_diagnostic/cohorts/legacy_158/correlation_log10_distance_plus_1A_vs_sift,correlation_log10_distance_plus_1A_vs_sift,cluster_boot_spearman (retained count not stored),-0.41545275363032247,-0.5669108430218808,-0.23730735475496884,,4000,not stored,,
robustness/results/robustness_statistics.json,/sift_sequence_constraint_diagnostic/sift_auc,sift_auc,bootstrap_auc (protein cluster),0.6061554512258738,0.5221801425943358,0.6901504243488439,,20000,20000,0,
robustness/results/robustness_statistics.json,/sift_sequence_constraint_diagnostic/distance_auc,distance_auc,bootstrap_auc (protein cluster),0.5317336115458181,0.41801405993683133,0.646577625570776,,20000,20000,0,
robustness/results/robustness_statistics.json,/sift_sequence_constraint_diagnostic/sift_minus_distance_auc,sift_minus_distance_auc,paired_auc_difference (protein cluster),0.07442183968005567,-0.036886844864257466,0.1915291204090428,,20000,20000,0,
robustness/results/robustness_statistics.json,/sift_sequence_constraint_diagnostic/correlation_log10_distance_plus_1A_vs_sift,correlation_log10_distance_plus_1A_vs_sift,cluster_boot_spearman (retained count not stored),-0.41545275363032247,-0.5677079793469408,-0.2425070786943635,,4000,not stored,,
robustness/results/robustness_statistics.json,/confidence_strata/exclude_annotation_coincident[0],exclude_annotation_coincident[0],bootstrap_auc (protein cluster),0.5268233875828813,0.41674431974078835,0.6315393408472534,163,200000,200000,0,
robustness/results/robustness_statistics.json,/confidence_strata/exclude_annotation_coincident[1],exclude_annotation_coincident[1],bootstrap_auc (protein cluster),0.48901808785529716,0.3464621212121212,0.6339956011730206,79,20000,20000,0,
robustness/results/robustness_statistics.json,/confidence_strata/exclude_annotation_coincident[2],exclude_annotation_coincident[2],bootstrap_auc (protein cluster),0.4593993325917686,0.30267448512585815,0.6181344118844116,60,20000,20000,0,
robustness/results/robustness_statistics.json,/confidence_strata/exclude_annotation_coincident[3],exclude_annotation_coincident[3],bootstrap_auc (protein cluster),0.45,0.28757965686274506,0.6063114774666264,58,20000,20000,0,
robustness/results/robustness_statistics.json,/confidence_strata/exclude_annotation_coincident[4],exclude_annotation_coincident[4],bootstrap_auc (protein cluster),0.5699300699300699,0.37074235288521007,0.7464123376623376,35,20000,19999,1,
