path,bytes,sha256,source,source_url,source_version,license,license_url,transformation
data/af/Q12271.cif,1047331,691786ce135bd565e8b5f7e935cc7128d927053a7cf1222454d987f12e5358b2,AlphaFold Protein Structure Database monomer model,https://alphafold.ebi.ac.uk/files/AF-Q12271-F1-model_v6.cif,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,none
data/af/Q12386.cif,817247,0eef58557dceb00c2a2f8a7a8d633de2dcc64607d01541d8b3f2de617454305c,AlphaFold Protein Structure Database monomer model,https://alphafold.ebi.ac.uk/files/AF-Q12386-F1-model_v6.cif,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,none
data/af/Q12464.cif,428954,bdea6f758d4f8941ea2a89c43a4f443e5e41c01365098ffb0b25ca9f0707a72a,AlphaFold Protein Structure Database monomer model,https://alphafold.ebi.ac.uk/files/AF-Q12464-F1-model_v6.cif,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,none
data/uniprot_entries_raw.json,8636354,c65d55b77fe4151f743957a694a2623957bf1ce1355586e397b6385f94dfbb83,UniProtKB feature records,https://rest.uniprot.org/uniprotkb/search,2026_02,CC BY 4.0,https://www.uniprot.org/help/license,batched REST responses preserved as JSON
data/yeast_sgd_uniprot.tsv,3778598,5b48babf484ecc5602df8f4401f13fb0fb3501c9ad6eda473923bc6490d1ed85,UniProtKB reviewed Saccharomyces cerevisiae proteome,https://rest.uniprot.org/uniprotkb/stream,2026_02,CC BY 4.0,https://www.uniprot.org/help/license,REST query serialized as TSV
robustness/data/pae/P00359_metadata.json,2374,53e15ff793cdf2151c6bc51c79c207d214b3ff1290940f758b9381a933e492f6,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P00359,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
robustness/data/pae/P00359_v6_pae.json.gz,18433,f7a54e233b507d1fb7f90e6699fe9aefa8616930b3e379975389150d6ac1e244,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P00359-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
robustness/data/pae/P00924_metadata.json,2554,136e2ae668d96b96135633409d38622ecc70d84e59320f192bd80c1b421406da,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P00924,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
robustness/data/pae/P00924_v6_pae.json.gz,30233,c0a471f2a50d96d17802db421d8035b9697274bb69c6b0ddf26ae823dbc8fffc,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P00924-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
robustness/data/pae/P02829_metadata.json,3131,485c3cb23dce657d7e57b9bae61429d3e1aeb4658a6cfd5425e18c7b5e2f56b4,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P02829,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
robustness/data/pae/P02829_v6_pae.json.gz,192662,3b51a4c8d005378b22a3b1fddce935f793ddfe8002aac0d3f90a575c27d2da24,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P02829-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
robustness/data/pae/P04050_metadata.json,5184,25684a995c09f7cb25964d8fa0983502ff1655ce15485cf2301736195ec4eba0,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P04050,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
robustness/data/pae/P04050_v6_pae.json.gz,1116489,e27a39fbfb3203b45eeb36730cb486dcb18c8fd0704c161397d8a31da2932211,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P04050-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
robustness/data/pae/P06244_metadata.json,2502,37f5422a052372eb7a534867e70f8fc7242839964d00c6e11572f7cf934bc099,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P06244,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
robustness/data/pae/P06244_v6_pae.json.gz,45657,46f69bd148d3fd53412170d6012d57e90db9cecc74f75413813a98f630478467,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P06244-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
robustness/data/pae/P06782_metadata.json,2984,900722f17559ebd0639c0f7c025b6ce3b11e28694363766510ed77c235d890ce,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P06782,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
robustness/data/pae/P06782_v6_pae.json.gz,163592,2c3b3c4455e4ac56623efa3dcee2abf4c2712214eaa94ec2d2352096b96c9b1e,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P06782-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
robustness/data/pae/P08018_metadata.json,3029,99f7e24737a810ee73fd4dfb184106c27e8a9c3612a458b96957447d0ea7fcdf,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P08018,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
